"COM_NAME"	"ADDRESS"	"COUNTRY"	"WEB"	"COM_ID"	"OFI_ID"
"Ubisoft Montreal"	"
5505, Boulevard Saint-Laurent, Montreal, Quebec, Canada"	"Canada"	"http://montreal.ubisoft.com/en/home"	101	1
"Bethesda Game Studios"	"1370 Piccard Dr #120, Rockville, MD 20850 "	"United States"	"http://bethsoft.com/age"	102	1
"Treyarch"	"Santa Monica Business Park, 3420 Ocean Park Blvd #1000, Santa Monica, CA 90405"	"United States"	"http://www.treyarch.com"	103	1
"Avalanche Studios"	"
536 Broadway, New York, NY 10012
"	"United States"	"http://avalanchestudios.com"	104	1
"SEGA"	"140-8583 Tokyo
Canal Side-Bldg
1-39-9, Higashi-Shinagawa
Shinagawa-ku,
Japan"	"Japan"	"http://www.sega.com"	105	1
"Visual Concept"	"Novato, California, United States"	"United States"	"http://www.vcentertainment.com/us"	106	1
"Erectronic Arts"	"redwood city California"	"United States"	"http://www.ea.com"	107	1
"Codemasters Racing Stdudios"	"Southam, Warwickshire, UK"	"United Kingdom"	"http://www.codemasters.com"	108	1
"Rockstar Games "	"New York City, New York, United States
"	"United States"	"http://www.rockstargames.com"	109	1
"CD Projekt RED"	"S.A. ul. Jagiellonska 74 03-301 Warszawa 
 Poland"	"Poland"	"http://en.cdprojektred.com"	110	1
